event_id,game_id,inning,batting_team_id,home_away,outs,balls,strikes,pitch_sequence,away_score,home_score,batter_id,batter_hand,responsible_batter_id,responsible_batter_hand,batter_lineup_position,batter_fielding_position,pitcher_id,pitcher_hand,responsible_pitcher_id,responsible_pitcher_hand,fielder_2_id,fielder_3_id,fielder_4_id,fielder_5_id,fielder_6_id,fielder_7_id,fielder_8_id,fielder_9_id,runner_1_id,runner_2_id,runner_3_id,event_text,event_code,event_outs,ab_flag,hit_code,rbi,leadoff_flag,pinch_hit_flag,sacrifice_hit_flag,sacrifice_fly_flag,double_play_flag,triple_play_flag,wild_pitch_flag,passed_ball_flag,bunt_flag,foul_flag,batted_ball_code,batted_ball_location,fielding_code,errors,error_1_fielder,error_1_type,error_2_fielder,error_2_type,error_3_fielder,error_3_type,batter_dest,runner_1_dest,runner_2_dest,runner_3_dest,runner_1_stolen_base,runner_2_stolen_base,runner_3_stolen_base,runner_1_caught_stealing,runner_2_caught_stealing,runner_3_caught_stealing,batter_play_text,runner_1_play_text,runner_2_play_text,runner_3_play_text,putout_1_fielder,putout_2_fielder,putout_3_fielder,assist_1_fielder,assist_2_fielder,assist_3_fielder,assist_4_fielder,assist_5_fielder,game_new_flag,game_end_flag,created_at
15629130,NYA202305110,3,TBA,H,2,1,2,CSVS,0,0,volpa001,R,volpa001,R,1,6,rasmd002,R,rasmd002,R,mejif001,diazy001,loweb001,wallt003,franw002,arozr001,margm001,lowej002,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629154,NYA202305110,6,TBA,H,1,0,1,FX,4,0,volpa001,R,volpa001,R,1,6,rasmd002,R,rasmd002,R,mejif001,diazy001,loweb001,parei001,wallt003,arozr001,margm001,lowej002,,,,63/G6S,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,6S,6,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,63,"","","",3,0,0,6,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629180,NYA202305110,9,TBA,H,0,2,0,BBX,8,0,volpa001,R,volpa001,R,1,6,guerj004,R,guerj004,R,mejif001,diazy001,loweb001,parei001,wallt003,arozr001,margm001,lowej002,,calhw001,,63/G6,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,6,6,0,0,,0,,0,,0,0,2,0,F,F,F,F,F,F,63,"","","",3,0,0,6,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629204,NYA202305120,2,TBA,H,2,2,1,BBCX,2,1,volpa001,R,volpa001,R,7,6,kellt002,R,kellt002,R,bethc001,diazy001,loweb001,parei001,franw002,arozr001,sirij001,lowej002,,,,53/G56,2,1,T,0,0,F,F,F,F,F,F,F,F,F,F,G,56,5,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,53,"","","",3,0,0,5,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629224,NYA202305120,5,TBA,H,2,3,1,BBFBX,2,1,volpa001,R,volpa001,R,7,6,flemj001,L,flemj001,L,bethc001,diazy001,loweb001,parei001,franw002,arozr001,sirij001,lowej002,,,,HR/F9D,23,0,T,4,1,F,F,F,F,F,F,F,F,F,F,F,9D,0,0,0,,0,,0,,4,0,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629241,NYA202305120,7,TBA,H,1,0,0,X,2,2,volpa001,R,volpa001,R,7,6,kellk004,R,kellk004,R,bethc001,diazy001,loweb001,parei001,franw002,arozr001,sirij001,lowej002,bauej001,badeh001,,S7/L7.2-H;1-2,20,0,T,1,1,F,F,F,F,F,F,F,F,F,F,L,7,7,0,0,,0,,0,,1,2,4,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629275,NYA202305130,2,TBA,H,2,1,2,CSBT,1,0,volpa001,R,volpa001,R,7,6,mccls003,L,mccls003,L,mejif001,diazy001,wallt003,parei001,franw002,arozr001,sirij001,margm001,,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,0,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629290,NYA202305130,4,TBA,H,2,1,2,C*BTS,1,0,volpa001,R,volpa001,R,7,6,mccls003,L,mccls003,L,mejif001,diazy001,wallt003,parei001,franw002,arozr001,sirij001,margm001,lemad001,,,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,1,0,0,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629311,NYA202305130,6,TBA,H,0,0,0,X,6,4,volpa001,R,volpa001,R,7,6,thomr007,R,thomr007,R,mejif001,diazy001,wallt003,parei001,franw002,arozr001,sirij001,margm001,,,,S5/BG25-,20,0,T,1,0,T,F,F,F,F,F,F,F,T,F,G,25,5,0,0,,0,,0,,1,0,0,0,F,F,F,F,F,F,"","","","",0,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
15629323,NYA202305130,6,TBA,H,2,1,2,BSC.F>S,6,9,volpa001,R,volpa001,R,7,6,guerj004,R,guerj004,R,mejif001,diazy001,wallt003,parei001,franw002,arozr001,sirij001,margm001,cabro002,,badeh001,K,3,1,T,0,0,F,F,F,F,F,F,F,F,F,F,"","",0,0,0,,0,,0,,0,1,0,3,F,F,F,F,F,F,2,"","","",2,0,0,0,0,0,0,0,F,F,2026-01-21 17:01:53.227175
